student_id,school,major,year,age,gender,seed_keywords,interest_profile,research_interests,methods_tools,profile_keywords
NU_ENG_000001,NU,Industrial Engineering,4,22,F,"['simulation', 'supply chain', 'optimization', 'operations']","I'm specializing in Industrial Engineering through capstone work and targeted research experience. My main interests include operations research, supply chain, operations and applying them to manufacturing systems.","['manufacturing systems', 'simulation', 'operations research', 'supply chain', 'process improvement']","['A/B testing', 'data visualization', 'Python', 'linear programming', 'discrete-event simulation']","['simulation', 'supply chain', 'optimization', 'operations research', 'operations', 'manufacturing systems', 'A/B testing', 'data visualization', 'Python', 'service systems', 'process monitoring', 'production planning']"
NU_ENG_000002,NU,Computer Science,2,19,M,"['AI', 'NLP', 'systems', 'data']","I'm getting more focused in Computer Science by taking core classes and joining hands-on team projects. My main interests include NLP, data, data engineering and applying them to education tech.","['manufacturing analytics', 'data engineering', 'systems', 'security', 'finance']","['Python', 'debugging', 'SQL', 'APIs', 'testing']","['AI', 'NLP', 'systems', 'data', 'data engineering', 'education tech', 'Python', 'debugging', 'SQL', 'machine learning', 'software engineering', 'internship']"
NU_ENG_000003,NU,Industrial Engineering,4,22,M,"['analytics', 'operations', 'optimization', 'quality']","I'm specializing in Industrial Engineering through capstone work and targeted research experience. My main interests include optimization, operations, quality and applying them to manufacturing systems.","['operations research', 'logistics', 'process improvement', 'quality engineering', 'supply chain']","['data visualization', 'process mapping', 'Python', 'A/B testing', 'linear programming']","['analytics', 'operations', 'optimization', 'quality', 'human factors', 'manufacturing systems', 'data visualization', 'process mapping', 'Python', 'production planning', 'linear programming', 'design reviews']"
NU_ENG_000004,NU,Electrical Engineering,3,20,F,"['power', 'control', 'communications', 'signals']","I'm building depth in Electrical Engineering with advanced coursework and research/industry-style projects. My main interests include communications, circuits, control, fault detection and applying them to sensing.","['circuits', 'power systems', 'controls', 'control', 'signals']","['circuit analysis', 'simulation', 'control design', 'Python', 'lab instrumentation']","['power', 'control', 'communications', 'circuits', 'sensing', 'circuit analysis', 'simulation', 'control design', 'fault detection', 'embedded sensing', 'smart grid', 'wireless']"
NU_ENG_000005,NU,Biomedical Engineering,1,18,M,"['data analysis', 'programming', 'team projects', 'modeling']","I'm exploring different directions in Biomedical Engineering through intro courses and small projects. My main interests include data analysis, programming, biomaterials and applying them to medical imaging.","['programming', 'medical devices', 'rehabilitation engineering', 'assistive tech', 'data analysis']","['experiments', 'signal processing', 'data analysis', 'modeling', 'MATLAB']","['data analysis', 'programming', 'team projects', 'biomaterials', 'medical imaging', 'experiments', 'signal processing', 'design reviews', 'internship', 'process monitoring', 'healthcare', 'biomechanics']"
NU_ENG_000006,NU,Materials Science and Engineering,4,21,F,"['experiments', 'programming', 'design', 'team projects']","I'm specializing in Materials Science and Engineering through capstone work and targeted research experience. My main interests include nanomaterials, metals, design and applying them to advanced manufacturing.","['failure analysis', 'biomaterials', 'advanced manufacturing', 'metals', 'energy materials']","['materials selection', 'lab characterization', 'Python', 'simulation', 'experiments']","['experiments', 'programming', 'design', 'nanomaterials', 'metals', 'materials processing', 'advanced manufacturing', 'materials selection', 'lab characterization', 'Python', 'electronics', 'capstone']"
NU_ENG_000007,NU,Industrial Engineering,2,19,M,"['optimization', 'operations', 'quality', 'simulation']","I'm getting more focused in Industrial Engineering by taking core classes and joining hands-on team projects. My main interests include supply chain, quality, operations research, predictive modeling and applying them to service systems.","['operations research', 'quality', 'production planning', 'healthcare operations', 'predictive modeling']","['A/B testing', 'data visualization', 'linear programming', 'discrete-event simulation', 'R']","['optimization', 'operations', 'quality', 'supply chain', 'operations research', 'service systems', 'A/B testing', 'data visualization', 'linear programming', 'predictive modeling', 'ML for operations', 'Python']"
NU_ENG_000008,NU,Industrial Engineering,1,18,M,"['optimization', 'simulation', 'supply chain', 'quality']","I'm exploring different directions in Industrial Engineering through intro courses and small projects. My main interests include optimization, quality, quality engineering, ML for operations and applying them to logistics.","['manufacturing systems', 'supply chain', 'quality engineering', 'human factors', 'production planning']","['linear programming', 'A/B testing', 'Python', 'R', 'discrete-event simulation']","['optimization', 'simulation', 'supply chain', 'quality', 'quality engineering', 'logistics', 'linear programming', 'A/B testing', 'Python', 'ML for operations', 'reinforcement learning', 'internship']"
NU_ENG_000009,NU,Biomedical Engineering,1,18,F,"['design', 'modeling', 'team projects', 'experiments']","I'm exploring different directions in Biomedical Engineering through intro courses and small projects. My main interests include design, imaging, medical devices and applying them to assistive tech.","['biomechanics', 'imaging', 'assistive tech', 'healthcare', 'medical imaging']","['data analysis', 'experiments', 'Python', 'MATLAB', 'signal processing']","['design', 'modeling', 'team projects', 'imaging', 'medical devices', 'assistive tech', 'data analysis', 'experiments', 'Python', 'lab work', 'biomaterials', 'biomechanics']"
NU_ENG_000010,NU,Computer Science,3,20,M,"['data', 'algorithms', 'NLP', 'systems']","I'm building depth in Computer Science with advanced coursework and research/industry-style projects. My main interests include NLP, data engineering, data and applying them to education tech.","['healthcare', 'algorithms', 'systems', 'robotics', 'education tech']","['Python', 'APIs', 'Git', 'testing', 'SQL']","['data', 'algorithms', 'NLP', 'data engineering', 'HCI', 'education tech', 'Python', 'APIs', 'Git', 'finance', 'software engineering', 'healthcare']"
